iter	Passed	Remaining
881	66875	8947
882	66950	8871
883	67022	8794
884	67076	8716
885	67136	8638
886	67213	8562
887	67302	8488
888	67391	8414
889	67481	8340
890	67567	8265
891	67647	8190
892	67705	8112
893	67761	8034
894	67827	7957
895	67902	7881
896	67987	7806
897	68062	7730
898	68144	7655
899	68229	7581
900	68286	7503
901	68344	7425
902	68398	7347
903	68457	7269
904	68529	7193
905	68595	7116
906	68665	7040
907	68732	6964
908	68809	6888
909	68874	6811
910	68950	6736
911	69017	6659
912	69086	6583
913	69142	6505
914	69193	6427
915	69244	6349
916	69302	6272
917	69412	6200
918	69522	6127
919	69646	6056
920	69746	5982
921	69862	5910
922	69984	5838
923	70093	5765
924	70192	5691
925	70298	5617
926	70426	5545
927	70531	5472
928	70644	5399
929	70750	5325
930	70864	5252
931	70969	5178
932	71074	5103
933	71169	5029
934	71268	4954
935	71365	4879
936	71467	4805
937	71568	4730
938	71679	4656
939	71783	4581
940	71888	4507
941	71994	4432
942	72111	4358
943	72212	4283
944	72313	4208
945	72420	4133
946	72524	4058
947	72629	3983
948	72732	3908
949	72836	3833
950	72928	3757
951	73019	3681
952	73107	3605
953	73199	3529
954	73287	3453
955	73390	3377
956	73492	3302
957	73594	3226
958	73711	3151
959	73818	3075
960	73924	3000
961	74028	2924
962	74127	2848
963	74241	2772
964	74345	2696
965	74468	2621
966	74575	2544
967	74690	2469
968	74803	2393
969	74907	2316
970	75013	2240
971	75126	2164
972	75226	2087
973	75336	2011
974	75440	1934
975	75551	1857
976	75655	1781
977	75762	1704
978	75871	1627
979	75982	1550
980	76086	1473
981	76189	1396
982	76293	1319
983	76399	1242
984	76504	1165
985	76617	1087
986	76723	1010
987	76825	933
988	76934	855
989	77055	778
990	77167	700
991	77279	623
992	77376	545
993	77476	467
994	77589	389
995	77685	311
996	77782	234
997	77876	156
998	77969	78
999	78079	0
